12;10,2;3,7
13;10,2;3,6
13;11,2;3,7
13;12,,8
13;11,2,7
13;10,2,6
13;9,2,5
13;8,2,6
13;7,2,7
13;6,,8
12;6,,9
11;6,,10
10;6,0,11
9;6,0,12
8;6,0,13
7;6,0,14
6;6,0,15
5;6,,16
5;7,1,15
5;8,1,14
5;9,1,13
6;9,1,12
6;10,1,13
6;11,1,14
5;11,1,15
12;10,2;3,7
13;10,2;3,6
13;11,2;3,7
13;12,,8
13;11,2,7
13;10,2,6
13;9,2,5
13;8,2,6
13;7,2,7
13;6,,8
12;6,,9
11;6,,10
10;6,0,11
9;6,0,12
8;6,0,13
7;6,0,14
6;6,0,15
5;6,,16
5;7,1,15
5;8,1,14
5;9,1,13
6;9,1,12
6;10,1,13
6;11,1,14
5;11,1,15
12;10,2;3,7
13;10,2;3,6
13;11,2;3,7
13;12,,8
13;11,2,7
13;10,2,6
13;9,2,5
13;8,2,6
13;7,2,7
13;6,,8
12;6,,9
11;6,,10
10;6,0,11
9;6,0,12
8;6,0,13
7;6,0,14
6;6,0,15
5;6,,16
5;7,1,15
5;8,1,14
5;9,1,13
6;9,1,12
6;10,1,13
6;11,1,14
5;11,1,15
12;10,2;3,7
13;10,2;3,6
13;11,2;3,7
13;12,,8
13;11,2,7
13;10,2,6
13;9,2,5
13;8,2,6
13;7,2,7
12;10,2;3,7
13;10,2;3,6
13;11,,7
12;11,,8
12;10,,7
11;10,2,8
11;9,2,7
11;8,2,8
11;7,0;2,9
11;6,0,10
10;6,0,11
10;5,0,12
9;5,0,13
8;5,,14
8;6,,13
7;6,,14
7;7,,13
6;7,,14
6;8,,13
5;8,,14
5;9,,13
4;9,,14
4;8,,15
3;8,1,16
3;9,1,15
4;9,1,14
12;10,2;3,7
13;10,2;3,6
13;11,3,7
13;12,3,8
13;13,3,9
14;13,3,8
14;14,,9
13;14,,10
13;13,,9
12;13,,10
12;12,1,9
11;12,1,10
11;11,1,9
10;11,1;2,10
10;10,1;2,9
11;10,2,8
11;9,2,7
10;9,2,8
10;8,2,9
11;8,2,8
11;7,2,9
11;6,2,10
12;6,2,9
12;5,2,10
11;5,,11
11;6,,10
10;6,,11
10;7,,10
9;7,,11
8;7,,12
7;7,0,13
6;7,0,14
6;8,0,13
5;8,0,14
4;8,0,15
3;8,0,16
12;10,2;3,7
13;10,2;3,6
13;11,3,7
13;12,,8
12;12,,9
11;12,,10
11;11,,9
11;10,2,8
11;9,2,7
11;8,,8
10;8,0,9
9;8,0,10
8;8,0,11
7;8,,12
7;9,,11
6;9,1,12
6;10,1,13
6;11,1,14
5;11,1,15
5;12,1,16
12;10,2;3,7
13;10,2;3,6
13;11,,7
12;11,2,8
12;10,2,7
13;10,2,6
13;9,2,5
14;9,2,4
14;8,2,5
14;7,,6
13;7,,7
13;8,,6
12;8,,7
12;9,,6
11;9,,7
11;10,0,8
10;10,0;1,9
10;11,0;1,10
9;11,0;1,11
8;11,0;1,12
8;10,0;1,11
7;10,,12
7;11,1,13
8;11,1,12
8;12,1,13
9;12,1,12
12;10,2;3,7
13;10,2;3,6
13;11,3,7
13;12,3,8
13;13,3,9
14;13,3,8
14;12,,7
13;12,,8
13;11,,7
12;11,,8
12;10,2,7
12;9,2,6
13;9,2,5
13;8,2,6
13;7,,7
12;7,,8
12;6,,9
11;6,,10
10;6,,11
10;5,,12
9;5,,13
9;4,,14
8;4,,15
8;5,,14
7;5,0,15
6;5,0,16
5;5,0,17
5;6,0,16
4;6,,17
4;7,,16
5;7,,15
5;8,,14
6;8,,13
6;9,,12
7;9,1,11
7;10,1,12
8;10,1,11
8;11,1,12
8;12,1,13
12;10,2;3,7
13;10,2;3,6
13;11,2;3,7
13;12,2,8
13;11,2,7
13;10,2,6
12;10,2,7
12;9,,6
11;9,,7
11;8,,8
10;8,0,9
9;8,0,10
8;8,0,11
8;7,0,12
7;7,0,13
6;7,0,14
12;10,2;3,7
13;10,2;3,6
13;11,2;3,7
13;12,2;3,8
13;13,2;3,9
12;13,2,10
12;12,2,9
12;11,2,8
13;11,2,7
13;10,2,6
13;9,2,5
13;8,,6
12;8,,7
12;7,,8
11;7,,9
11;6,,10
10;6,,11
10;5,,12
9;5,0,13
9;4,0,14
8;4,0,15
7;4,0,16
6;4,,17
6;5,,16
5;5,,17
5;6,,16
4;6,,17
4;7,,16
3;7,,17
3;8,,16
2;8,1,17
2;9,1,16
2;8,1,17
2;9,1,16
1;9,1,17
1;8,1,18
1;9,1,17
2;9,1,16
2;8,1,17
2;9,1,16
2;8,1,17
2;9,1,16
3;9,1,15
3;8,1,16
4;8,1,15
4;9,1,14
5;9,1,13
5;8,1,14
5;9,1,13
5;8,1,14
4;8,1,15
4;9,1,14
4;8,1,15
4;9,1,14
3;9,1,15
3;8,1,16
4;8,1,15
4;9,1,14
3;9,1,15
3;8,1,16
3;9,1,15
2;9,1,16
2;8,,17
1;8,,18
1;9,1,17
1;8,1,18
1;9,1,17
1;8,1,18
1;9,1,17
1;8,,18
1;9,1,17
1;8,,18
2;8,,17
2;9,1,16
2;8,,17
3;8,,16
3;9,1,15
3;8,,16
4;8,,15
4;9,,14
5;9,1,13
5;8,,14
6;8,,13
12;10,2;3,7
13;10,2;3,6
13;11,2;3,7
13;12,,8
13;11,2,7
13;10,2,6
13;9,2,5
13;8,2,6
13;7,2,7
13;6,,8
12;6,,9
11;6,,10
10;6,0,11
9;6,0,12
8;6,0,13
7;6,0,14
6;6,0,15
5;6,,16
5;7,1,15
5;8,1,14
5;9,1,13
5;8,1,14
5;9,1,13
5;8,1,14
5;9,1,13
5;8,1,14
5;9,1,13
5;8,1,14
5;9,1,13
5;8,1,14
5;9,1,13
5;8,1,14
5;9,1,13
5;8,1,14
5;9,1,13
